game_id,game_name,description,occasion,genre,game_type,age_group,items_needed,difficulty,duration_minutes,min_players,max_players,setup_time_minutes,cleanup_time_minutes,energy_level,venue_type,cultural_origin,rules,variations,safety_considerations,tags_keywords,cost_estimation,facilitator_required,venue_suitability,popularity_rating,customization_options,rental_availability,source_reference,feedback_summary,last_updated,dressing_style,most_popular_area
G089,Chidiya Challenge,"Chidiya Challenge is a bird imitation contest where participants compete on who can best mimic bird sounds and movements. Suitable for kids and families.",Family;School,Traditional,Individual,Kids (5-12)/Family,"None","Easy",10,1,10,2,2,Moderate,Outdoor,Pan India,"Each player performs a bird mimicry act; audience votes for the best performance.","Can include competitive scoring.","Ensure an open, safe area for performance.","imitation, fun, traditional",0,No,Outdoor,4.1,"Performance style customizable","No","Traditional","Often enjoyed in cultural gatherings.",2025-04-06,"Casual, Ethnic",Uttar Pradesh
G090,Potato Sack Sprint,"Potato Sack Sprint is a classic relay race where participants hop in sacks. It’s ideal for outdoor family picnics and school events, promoting fitness and fun.",Family;School,Sport,Team,Kids (5-12)/Family,"Sacks","Easy",10,4,20,2,2,High,Outdoor,Pan India,"Players hop in sacks from start to finish; the fastest team wins.","Variations include obstacle elements.","Ensure sacks are durable and the track is safe.","fun, energetic, classic",0,No,Outdoor field,4.2,"Race length customizable","No","Traditional","A timeless outdoor game.",2025-04-06,"Casual, Ethnic",Maharashtra
G091,Marble Rally,"Marble Rally is a dynamic game where players compete by rolling marbles through a custom track. Great for teens and adults, it demands precision and strategy.",Corporate;School,Modern,Solo,Teens (13-17)/Adults (18+),"Marbles, track board","Medium",15,1,4,5,3,Low,Indoor,Pan India,"Guide your marble through a winding track; fastest time wins.","Tracks can be designed with varying difficulties.","Ensure the track is smooth and marbles are intact.","strategic, fun, modern",10,No,Indoor,4.3,"Track design customizable","No","Modern game","Well-received in tech fests.",2025-04-06,"Formal, Trendy",Bengal
G092,Pencil Javelin,"Pencil Javelin is a quirky game where players flick pencils to hit a target. Ideal for school settings and casual family fun, it improves aim and coordination.",School;Neighborhood,Modern,Solo,Kids (5-12)/Teens (13-17),"Pencils, target board","Easy",8,1,6,2,2,Low,Indoor,Pan India,"Flick pencils toward a target; closer hits score more points.","Different target distances can be set.","Ensure pencils are safe (use dull ends) and the board is secure.","quirky, fun, precision",0,No,Classroom,4.0,"Target distance adjustable","No","DIY game","A hit in classrooms.",2025-04-06,"Casual, Trendy",Delhi
G093,Chain Reaction V,"Chain Reaction V is a collaborative word-building game that challenges players to link words in creative ways. Suitable for families and classrooms.",School;Family,Modern,Group,Kids (5-12)/Teens (13-17),"None","Easy",15,2,10,3,2,Low,Indoor,Pan India,"Players create a continuous word chain based on a theme; creativity earns bonus points.","Regional language themes can be incorporated.","Maintain a supportive and encouraging environment.","educational, creative, fun",0,No,Indoor,4.2,"Theme customization available","No","Modern game","Popular in language classes.",2025-04-06,"Casual, Trendy",Delhi
G094,Chuski Sprint,"Chuski Sprint challenges players to finish a cup of chuski before it melts, with a twist: they must answer a quick quiz mid-sip. Perfect for hot days and family fun.",Family;Festival,Modern,Individual,Kids (5-12)/Family,"Chuski, cup, quiz cards","Easy",10,1,6,2,2,Moderate,Outdoor,North India,"Drink chuski while answering a quiz; speed and accuracy both count.","Quiz themes can be local or general.","Ensure hygienic conditions and safe drinkware.","refreshing, fun, competitive",5,No,Outdoor,4.1,"Quiz content customizable","Yes","Local snack","Popular at summer fests.",2025-04-06,"Casual, Festive",Uttar Pradesh
G095,Dandiya Drift,"Dandiya Drift combines traditional Dandiya with a twist—players must change directions based on music cues. It’s perfect for energetic weddings and festivals.",Wedding;Festival,Traditional,Dance,Family (all ages),"Dandiya sticks, music system","Medium",20,4,50,5,5,High,Indoor/Outdoor,West India,"Follow musical cues to change dance direction; coordination is key.","Multiple rounds with varying music speeds.","Ensure a safe dance floor with ample space.","rhythmic, festive, energetic",0,Yes,Large hall,4.6,"Music and dance moves customizable","No","Cultural dance","A trending hit in festive events.",2025-04-06,"Ethnic, Festive",Gujarat
G096,Stool Soccer,"Stool Soccer is a seated version of soccer where players kick a soft ball while seated on stools. Designed for corporate team-building and family events, it emphasizes fun and inclusivity.",Corporate;Family,Modern,Team,Adults (18+)/Family,"Stools, soft ball","Easy",15,4,12,3,2,Low,Indoor,Pan India,"Players sit on stools and kick the ball into a goal; teamwork and strategy are key.","Variations include obstacle courses on the floor.","Ensure stools are stable and the ball is soft.","inclusive, fun, team",0,Yes,Indoor hall,4.3,"Stool type and field size customizable","No","Modern game","A creative spin on soccer.",2025-04-06,"Casual, Trendy",Mumbai
G097,Sitar Simmer,"Sitar Simmer is a relaxed game where participants try to replicate a sitar tune using a simplified digital interface. It’s best for older teens and adults in creative workshops.",Corporate;Festival,Modern,Individual,Teens (13-17)/Adults (18+),"Digital sitar app","Medium",20,1,2,5,3,Low,Indoor,North India,"Players mimic a sitar tune on a digital app; accuracy is scored.","Duet modes available for added challenge.","Ensure devices are properly sanitized.","musical, creative, tech",0,No,Indoor,4.2,"App settings customizable","No","Modern tech","Appreciated in creative circles.",2025-04-06,"Formal, Trendy",Punjab
G098,Paper Plate Skillet,"Paper Plate Skillet is a balancing and tossing game where players flip paper plates onto targets. Great for kids and families, it develops coordination and timing.",Family;Birthday,Modern,Solo,Kids (5-12)/Family,"Paper plates, target rings","Easy",10,1,6,2,2,Moderate,Indoor/Outdoor,Pan India,"Flip a paper plate aiming for a target; score based on accuracy.","Different target distances can be set.","Ensure plates are lightweight and targets secure.","fun, precise, creative",2,No,Indoor or outdoor,4.1,"Target design customizable","Yes","DIY game","A creative twist on classic toss games.",2025-04-06,"Casual, Trendy",Rajasthan
G099,Chain Relay,"Chain Relay is a combination of a word-chain and a physical relay race. Teams pass a baton and add a word to a chain; perfect for team-building and fun.",Corporate;School,Modern,Team,Teens (13-17)/Adults (18+),"Baton, marker, word cards","Medium",20,4,20,5,3,High,Outdoor,Pan India,"Each team member runs a lap and adds to a word chain; fastest chain wins.","Themes can vary based on event.","Ensure safe running paths and clear instructions.","teamwork, energetic, creative",0,Yes,Outdoor track,4.3,"Relay and word rules customizable","No","Modern game","A hit in corporate events.",2025-04-06,"Casual, Trendy",Delhi
G100,Desi Dance-Off,"Desi Dance-Off is an open dance battle where participants showcase traditional and modern dance moves. It’s designed for all ages at weddings and cultural fests.",Wedding;Festival,Modern,Dance,Family (all ages),"Sound system, stage","Medium",30,4,50,5,5,High,Indoor/Outdoor,Pan India,"Contestants perform a dance routine; judges and audience vote for creativity and energy.","Freestyle and themed rounds available.","Ensure a safe stage and non-slip flooring.","energetic, cultural, vibrant",0,Yes,Large hall or open ground,4.7,"Dance styles customizable","No","Cultural fest","A marquee event in many Indian celebrations.",2025-04-06,"Ethnic, Festive",Gujarat
G101,"Joota Chupai","Joota Chupai is a classic wedding game where the bride’s party stealthily hides the groom's shoes and later demands a fun ransom. Designed for adults and close family members, it sparks laughter and playful negotiation.","Wedding","Traditional","Team","Adults (18+)","Groom's shoes","Medium",15,4,20,5,5,"High","Indoor/Outdoor","North India","Hide the groom's shoes during the ceremony; the groom must negotiate to retrieve them.","Time-limit variations can be introduced.","Ensure shoes remain undamaged.","traditional, fun, negotiation",0,"No","Reception hall or open ground",4.7,"Ransom amount adjustable","No","Traditional folklore","Loved for its humor and bonding effect.",2025-04-06,"Ethnic, Festive","Punjab"
G102,"Baraat Beat","Baraat Beat is a dance-off game exclusively for the groom’s procession. Participants compete by showing off energetic steps as they march to catchy beats.","Wedding","Traditional","Team","Adults (18+)","Traditional musical instruments, smartphone for music","Medium",20,6,30,7,5,"High","Outdoor","Western India","Groom's party competes in a dance battle during the baraat.","Alternate rounds and freestyle options available.","Ensure safe footing on outdoor terrain.","dance, energetic, competitive",0,"No","Open ground or streets",4.6,"Music tempo adjustable","No","Cultural tradition","Creates immense excitement at weddings.",2025-04-06,"Ethnic, Festive","Maharashtra"
G103,"Varmala Vibes","Varmala Vibes transforms the garland exchange into a playful challenge. Teams compete to exchange garlands in the fastest time while maintaining style.","Wedding","Traditional","Team","Adults (18+)","Garlands, decorative ribbons","Medium",15,4,25,5,5,"Moderate","Indoor/Outdoor","Pan India","Teams must exchange garlands between the bride and groom within a set time.","Competitive and relay versions available.","Handle garlands gently to avoid damage.","romantic, competitive, festive",0,"No","Banquet hall or open ground",4.5,"Exchange sequence customizable","No","Wedding rituals","Highly anticipated for its fun twist.",2025-04-06,"Ethnic, Festive","North India"
G104,"Mehndi Magic","Mehndi Magic is a creative contest where guests design temporary mehndi patterns on paper templates. It celebrates artistic expression during pre‐wedding rituals.","Wedding","Traditional","Individual","Teens (13-17)/Adults (18+)","Paper templates, colored mehndi cones","Easy",20,2,15,10,5,"Low","Indoor","North India","Contestants design creative mehndi motifs; winners are chosen by popular vote.","Digital submissions optional for modern twists.","Use non-toxic, skin-safe materials if applied on hands.","artistic, creative, cultural",0,"No","Indoor hall or lounge",4.6,"Theme and color options customizable","No","Cultural art","Praised for igniting creativity.",2025-04-06,"Ethnic, Festive","Uttar Pradesh"
G105,"Sangeet Sing-Off","Sangeet Sing-Off is a karaoke-style competition held during the sangeet ceremony. Family members and friends perform popular wedding songs in a fun showdown.","Wedding","Traditional/Modern","Individual","All ages","Microphone, sound system, song list","Medium",25,2,20,10,5,"Moderate","Indoor","Pan India","Participants perform songs; judges or audience vote for the best performance.","Duet and group rounds available.","Ensure sound equipment is safely set up.","musical, entertaining, competitive",0,"No","Banquet hall",4.7,"Song selection customizable","No","Wedding tradition","Creates memorable moments.",2025-04-06,"Ethnic, Festive","Delhi"
G106,"Reception Relay","Reception Relay is a fast-paced relay race using wedding props (like dupattas and floral garlands). Teams pass the items in a relay format to complete a circuit.","Wedding","Modern","Team","Adults (18+)/Family","Dupattas, garlands, small props","Easy",15,4,20,5,3,"High","Indoor/Outdoor","Pan India","Teams race while passing designated wedding props without dropping them.","Obstacle rounds can add extra fun.","Ensure props are light and safe for quick movement.","energetic, competitive, fun",5,"No","Reception hall or open space",4.4,"Prop types customizable","No","Contemporary wedding games","Well received for energizing guests.",2025-04-06,"Trendy, Festive","Mumbai"
G107,"Shaadi Scavenger Hunt","Shaadi Scavenger Hunt turns the wedding venue into a treasure map. Guests search for hidden clues related to the couple’s story.","Wedding","Modern","Team","All ages","Clue cards, small tokens","Medium",30,4,30,10,5,"Moderate","Indoor/Outdoor","Pan India","Teams follow clues spread around the venue that reveal aspects of the couple's journey.","Can be timed or scored for points.","Ensure clues are in safe, accessible spots.","interactive, fun, engaging",0,"Yes","Large venue or garden",4.5,"Clue complexity adjustable","No","Custom event planning","Guests love the personal touch.",2025-04-06,"Trendy, Festive","Delhi"
G108,"Couple's Quiz","Couple's Quiz is a rapid-fire trivia game where guests answer fun questions about the bride and groom. It’s a great icebreaker at receptions.","Wedding","Modern","Team","All ages","Question cards, buzzer","Easy",15,4,30,5,3,"Low","Indoor","Pan India","Guests answer questions about the couple’s history; points determine winners.","Rounds can be themed (childhood, romance, etc.).","Ensure questions are clear and culturally sensitive.","quiz, interactive, fun",0,"No","Indoor venue",4.6,"Question sets customizable","No","Wedding planners","Creates lots of laughs and engagement.",2025-04-06,"Trendy, Festive","Mumbai"
G109,"Haldi Huddle","Haldi Huddle is played during the haldi ceremony. Guests form teams to perform fun, water-based challenges that celebrate the auspicious ritual.","Wedding","Traditional","Team","Family (all ages)","Small water balloons, colored turmeric paste","Easy",15,4,25,5,3,"High","Outdoor","North India","Teams complete water relay challenges while applying haldi; fastest team wins.","Variations include relay races with different tasks.","Ensure water play is done on a non-slippery surface.","energetic, cultural, playful",0,"No","Outdoor courtyard",4.4,"Challenge tasks customizable","No","Wedding traditions","Favored for its vibrant energy.",2025-04-06,"Ethnic, Festive","Punjab"
G110,"Bidai Bonanza","Bidai Bonanza is a farewell-themed game where guests share heartfelt messages and fun challenges as the bride departs with her family.","Wedding","Traditional","Group","Adults (18+)/Family","Message cards, small tokens","Medium",20,4,25,5,3,"Low","Indoor/Outdoor","North India","Guests perform mini-challenges and share wishes during the bride’s farewell (bidai).","Rounds can include singing or memory sharing.","Ensure a respectful and safe environment.","emotional, traditional, interactive",0,"Yes","Reception hall or outdoor space",4.5,"Challenge rounds customizable","No","Cultural practices","Cherished for its emotional value.",2025-04-06,"Ethnic, Casual","Uttar Pradesh"
G111,"Saptapadi Steps","Saptapadi Steps is a dance challenge inspired by the seven steps (pheras) of a Hindu wedding. Teams choreograph creative moves to represent each step.","Wedding","Traditional","Team","Adults (18+)/Family","Sound system, markers for floor","Hard",30,4,30,10,5,"High","Indoor/Outdoor","North India","Teams choreograph a dance representing the seven pheras; judged on creativity and synchronization.","Alternate themes can be applied for modern fusion.","Ensure ample space to avoid injuries.","dance, traditional, challenging",0,"Yes","Large hall or open ground",4.7,"Choreography customizable","No","Cultural ceremonies","Celebrated for merging tradition with creativity.",2025-04-06,"Ethnic, Festive","Punjab"
G112,"Joota Jugalbandi","Joota Jugalbandi pits two teams against each other in a duel of wit and stealth as they compete to steal and defend shoes.","Wedding","Traditional","Team","Adults (18+)","Shoes, marker","Medium",15,4,20,5,5,"High","Indoor/Outdoor","North India","One team hides shoes while the other tries to retrieve them; points are awarded based on speed and strategy.","Different scoring systems can be applied.","Maintain a safe playing area to prevent slips.","competitive, fun, cultural",0,"No","Reception area",4.6,"Game rules adjustable","No","Traditional folklore","Praised for its competitive spirit.",2025-04-06,"Ethnic, Festive","Haryana"
G113,"Varmala Vault","Varmala Vault is a treasure hunt game focusing on the garland exchange. Guests search for hidden garlands and solve clues to win prizes.","Wedding","Modern","Team","Adults (18+)/Family","Garlands, clue cards","Medium",20,4,25,5,4,"Moderate","Indoor/Outdoor","Pan India","Hide garlands with clues around the venue; teams must locate them within a time limit.","Can incorporate digital clues for a modern twist.","Ensure garlands are safely displayed.","interactive, fun, romantic",0,"Yes","Banquet hall or outdoor garden",4.5,"Clue difficulty adjustable","No","Wedding event guides","Well appreciated for its creativity.",2025-04-06,"Trendy, Festive","Mumbai"
G114,"Love Lockdown","Love Lockdown is a puzzle game where couples solve a series of riddles and physical puzzles to ‘unlock’ a decorated treasure chest filled with love tokens.","Wedding","Modern","Team","Adults (18+)","Lock, keys, puzzle cards, treasure chest","Hard",25,2,10,10,5,"Moderate","Indoor","Pan India","Couples solve puzzles sequentially; each correct answer earns a key toward unlocking the chest.","Different difficulty levels can be set.","Ensure puzzles are safely constructed with no sharp parts.","puzzle, romantic, challenging",5,"Yes","Indoor venue",4.6,"Puzzle themes customizable","No","Creative wedding plays","Highly rated for building couple chemistry.",2025-04-06,"Trendy, Festive","Delhi"
G115,"Baraat Boot Camp","Baraat Boot Camp transforms the groom’s procession into a playful obstacle course. Participants face fun physical challenges along a pre-set route.","Wedding","Modern","Team","Adults (18+)","Obstacles, markers, soft props","Medium",20,6,30,7,5,"High","Outdoor","Western India","Set up an obstacle course along the baraat route; teams compete for the fastest time.","Courses can be adjusted based on space.","Ensure obstacles are padded and secure.","energetic, fun, competitive",10,"Yes","Outdoor streets or ground",4.5,"Obstacle design adjustable","No","Urban wedding trends","Popular among young grooms.",2025-04-06,"Trendy, Sporty","Mumbai"
G116,"Reception Riddles","Reception Riddles is a quiz-style game where teams answer wedding-themed riddles and puzzles to score points during the reception.","Wedding","Modern","Team","Adults (18+)/Family","Riddle cards, buzzer","Easy",20,4,30,5,3,"Low","Indoor","Pan India","Teams take turns answering wedding-related riddles; highest score wins.","Rounds can feature visual or audio clues.","Ensure questions are clear and culturally appropriate.","quiz, fun, interactive",0,"No","Reception hall",4.6,"Question difficulty adjustable","No","Event planners","Valued for sparking conversations.",2025-04-06,"Trendy, Casual","Delhi"
G117,"Phere Photo Frenzy","Phere Photo Frenzy invites guests to capture creative photos during the pheras. The best snapshots win prizes in a fun contest.","Wedding","Modern","Individual","All ages","Camera or smartphone, props","Easy",30,2,30,10,3,"Moderate","Indoor/Outdoor","North India","Guests snap photos during the ritual; entries are judged for creativity.","Social media integration can be added.","Ensure safe photography practices.","creative, fun, memorable",0,"No","Wedding venue",4.7,"Photo themes customizable","No","Social trends","Highly engaging and shareable.",2025-04-06,"Ethnic, Festive","Punjab"
G118,"Griha Pravesh Game","Griha Pravesh Game is a welcoming challenge for the bride’s entry into her new home. Guests perform fun tasks as she makes her entrance.","Wedding","Traditional","Team","Adults (18+)/Family","Household decor items, tokens","Medium",20,4,20,5,4,"Moderate","Indoor","North India","Guests complete challenges as the bride enters; tasks include offering symbolic items.","Can include modern interactive elements.","Ensure tasks are performed respectfully.","welcoming, traditional, fun",0,"Yes","New home or reception area",4.5,"Task types customizable","No","Cultural customs","Cherished for its warmth.",2025-04-06,"Ethnic, Festive","Uttar Pradesh"
G119,"Couple Charades","Couple Charades is a themed version of charades where teams act out significant moments from the couple’s life and wedding rituals.","Wedding","Modern","Team","All ages","Charade cards","Easy",20,4,30,5,3,"Moderate","Indoor","Pan India","Teams act out pre-written prompts related to the couple; guess correctly to score.","Rounds can include video submissions.","Ensure clear space for acting.","interactive, fun, engaging",0,"No","Indoor hall",4.6,"Prompt themes customizable","No","Popular wedding games","Loves for its humorous take.",2025-04-06,"Trendy, Festive","Delhi"
G120,"Sangeet Shuffle","Sangeet Shuffle is a dance game where participants randomly swap partners and dance styles to create unexpected routines during the sangeet.","Wedding","Modern","Team","Adults (18+)/Family","Music system, dance cards","Medium",20,4,30,5,5,"High","Indoor","Pan India","Randomly assigned dance partners perform a routine; judges select the best improvisation.","Can incorporate multiple dance genres.","Ensure safe dance floor and non-slip shoes.","dance, fun, interactive",0,"No","Banquet hall",4.5,"Dance style options adjustable","No","Wedding entertainment","Creates high energy on stage.",2025-04-06,"Trendy, Festive","Mumbai"
G121,"Mendhi Mania","Mendhi Mania challenges guests to create the most intricate mehndi designs on paper or temporary skin decals. It’s a fun pre-wedding contest.","Wedding","Traditional","Individual","Teens (13-17)/Adults (18+)","Paper, mehndi cones, stencils","Medium",25,2,15,10,5,"Low","Indoor","North India","Contestants design mehndi patterns; winners are chosen by audience vote.","Digital voting rounds can be added.","Ensure non-toxic materials are used.","artistic, creative, cultural",0,"No","Indoor venue",4.7,"Design elements customizable","No","Wedding traditions","Highly praised for its creativity.",2025-04-06,"Ethnic, Festive","Delhi"
G122,"Sehra Surprise","Sehra Surprise is a playful game where the groom’s side hides the sehra (headgear) and the groom must find it with hints from family members.","Wedding","Traditional","Team","Adults (18+)","Sehra, hint cards","Medium",15,4,20,5,5,"High","Indoor/Outdoor","North India","Hide the sehra in creative spots; the groom receives clues to locate it.","Time-bound variations available.","Keep sehra intact and avoid damage.","traditional, fun, interactive",0,"No","Reception area",4.5,"Hint frequency customizable","No","Cultural rituals","Adored for its suspense.",2025-04-06,"Ethnic, Festive","Punjab"
G123,"Band Baaja Bingo","Band Baaja Bingo is a bingo game where each number is replaced with wedding song titles or rituals. It brings a musical twist to the classic game.","Wedding","Modern","Individual","All ages","Bingo cards, markers, wedding song list","Easy",20,2,30,5,3,"Low","Indoor","Pan India","Call out wedding song titles; guests mark matching items on their cards.","Multiple bingo card designs available.","Ensure markers are child-safe.","bingo, musical, fun",0,"No","Indoor venue",4.4,"Card design customizable","No","Event entertainment","Popular for its unique twist.",2025-04-06,"Trendy, Festive","Mumbai"
G124,"Dulha Dhamaka","Dulha Dhamaka is a fun game for the groom’s party, featuring quirky challenges and dares that test the groom’s mettle in a light-hearted manner.","Wedding","Modern","Team","Adults (18+)","Challenge cards, props","Medium",20,4,20,5,5,"High","Indoor/Outdoor","Pan India","Groom and his friends perform fun challenges; scores are tallied for prizes.","Can include video challenges for social media.","Ensure challenges are safe and consensual.","competitive, fun, daring",0,"No","Party venue",4.6,"Challenge difficulty adjustable","No","Contemporary wedding games","Celebrated for its humor.",2025-04-06,"Trendy, Casual","Delhi"
G125,"Dulhan Dazzle","Dulhan Dazzle is designed for the bride’s side to compete in a graceful dance-off and trivia about bridal fashion and rituals.","Wedding","Modern","Team","Adults (18+)","Dance cards, trivia questions, sound system","Medium",20,4,20,5,5,"High","Indoor","Pan India","Bride’s party performs dance routines and answers fashion trivia; highest score wins.","Rounds can combine dance and quiz elements.","Ensure a spacious dance floor.","dance, trivia, fun",0,"No","Banquet hall",4.7,"Performance elements customizable","No","Wedding entertainment","Highly engaging for close family.",2025-04-06,"Trendy, Festive","Mumbai"
G126,"Rukhsati Race","Rukhsati Race is a playful exit game where members of the bride’s side compete in a relay as a symbolic send-off, mixing tradition with humor.","Wedding","Traditional","Team","Adults (18+)","Relay batons, symbolic tokens","Medium",15,4,25,5,5,"High","Outdoor","North India","Teams compete in a relay race during the bride’s farewell; fastest team wins.","Can include additional hurdles for fun.","Ensure safe running paths and soft ground.","relay, traditional, fun",0,"Yes","Outdoor field",4.5,"Race format customizable","No","Cultural customs","A heartwarming and fun farewell.",2025-04-06,"Ethnic, Casual","Uttar Pradesh"
G127,"Aashirwad Ball Toss","Aashirwad Ball Toss is a gentle, interactive game where guests toss soft balls into a decorated box to “send blessings” to the couple.","Wedding","Traditional","Individual","All ages","Soft balls, decorated box","Easy",10,2,30,3,2,"Low","Indoor/Outdoor","Pan India","Guests toss balls into a box; each successful toss earns a blessing token.","Different point systems may be used.","Ensure balls are soft and surfaces padded.","blessings, interactive, gentle",0,"No","Reception area",4.4,"Box design customizable","No","Wedding rituals","Well-loved for its symbolic meaning.",2025-04-06,"Ethnic, Festive","Delhi"
G128,"Shagun Shuffle","Shagun Shuffle is a game where shagun envelopes are passed around, and players perform quick dares to keep them moving. It sparks energy during pre-wedding functions.","Wedding","Traditional","Team","Adults (18+)","Shagun envelopes, dare cards","Medium",15,4,25,5,4,"High","Indoor","North India","Players pass shagun envelopes while performing assigned dares; must not drop them.","Rounds can be repeated with increasing difficulty.","Ensure envelopes are lightweight and dares safe.","fun, daring, traditional",0,"No","Indoor hall",4.5,"Dare complexity adjustable","No","Wedding tradition","Popular for its high energy.",2025-04-06,"Ethnic, Festive","Punjab"
G129,"Roka Riddle","Roka Riddle is a wedding-themed riddle contest where teams solve puzzles related to marriage rituals and the couple’s story.","Wedding","Modern","Team","Adults (18+)/Family","Riddle cards, buzzer","Easy",20,4,30,5,3,"Low","Indoor","Pan India","Teams answer riddles about wedding customs and the couple’s history; fastest answers win.","Digital scoring rounds available.","Ensure questions are clear and culturally respectful.","quiz, traditional, fun",0,"No","Indoor venue",4.6,"Riddle set customizable","No","Wedding planners","Well-received for engaging guests.",2025-04-06,"Trendy, Casual","Delhi"
G130,"Sangeet Sing-Along","Sangeet Sing-Along encourages guests to perform in a group karaoke session of popular wedding songs. It’s a fun, interactive activity.","Wedding","Traditional/Modern","Group","All ages","Microphone, song list, sound system","Easy",25,4,40,10,5,"Moderate","Indoor","Pan India","Guests sing together; the best rendition or most enthusiastic performance wins.","Can incorporate costume or duet rounds.","Ensure high-quality audio setup.","musical, interactive, fun",0,"No","Banquet hall",4.5,"Song list customizable","No","Wedding entertainment","Crowd-pleasing and memorable.",2025-04-06,"Trendy, Festive","Mumbai"
G131,"Vivaah Vogue","Vivaah Vogue is a fashion walk where guests strut in traditional wedding attire. It’s a fun contest that celebrates cultural dressing styles.","Wedding","Traditional/Modern","Individual","Adults (18+)/Family","Traditional outfits, accessories","Medium",20,2,30,5,3,"Low","Indoor/Outdoor","Pan India","Participants walk a runway showcasing their wedding attire; judged on style and grace.","Can include themed rounds (regional, fusion).","Ensure a safe runway area.","fashion, cultural, fun",0,"No","Indoor hall or outdoor stage",4.7,"Attire guidelines customizable","No","Fashion events","Highly admired for its glamour.",2025-04-06,"Ethnic, Festive","Delhi"
G132,"Baraat Beatdown","Baraat Beatdown is an energetic dance battle exclusively for the groom’s side, where teams compete with synchronized moves and beats.","Wedding","Modern","Team","Adults (18+)","Music system, dance props","Medium",20,6,30,7,5,"High","Outdoor","Pan India","Groom’s team performs a choreographed dance-off; judges score based on synchronization and creativity.","Can include surprise rounds.","Ensure a safe, open dance area.","dance, competitive, energetic",0,"No","Outdoor space",4.6,"Choreography customizable","No","Wedding culture","A major hit in groom parties.",2025-04-06,"Trendy, Casual","Mumbai"
G133,"Mithai Mayhem","Mithai Mayhem turns the sweet distribution into a fun competition where teams race to collect and sort traditional wedding sweets.","Wedding","Traditional","Team","All ages","Traditional sweets, baskets","Easy",15,4,30,5,4,"Moderate","Indoor/Outdoor","North India","Teams race to collect mithai from designated spots and sort them by type; fastest correct sorting wins.","Variations include bonus rounds for rare sweets.","Ensure sweets are hygienically handled.","fun, competitive, traditional",5,"No","Reception area or outdoor garden",4.5,"Sweet type options adjustable","No","Cultural festivity","Cherished in North Indian weddings.",2025-04-06,"Ethnic, Festive","Uttar Pradesh"
G134,"Phera Puzzles","Phera Puzzles challenges guests to solve a wedding-themed puzzle using symbols from the pheras. It’s both intellectual and symbolic.","Wedding","Modern","Individual","Adults (18+)/Family","Puzzle board, symbols, timer","Hard",25,2,15,10,4,"Low","Indoor","North India","Guests arrange symbols in the correct order representing the seven steps; fastest time wins.","Digital and physical puzzle variants available.","Ensure puzzle pieces are safe and large enough to handle.","puzzle, symbolic, challenging",0,"No","Indoor hall",4.6,"Puzzle complexity adjustable","No","Wedding symbolism","Applauded for its meaningful twist.",2025-04-06,"Ethnic, Festive","Punjab"
G135,"Reception Relay Race","Reception Relay Race is a dynamic team relay that uses wedding props like floral fans and dupattas to complete a fun course inside the reception venue.","Wedding","Modern","Team","Adults (18+)/Family","Dupattas, floral fans, relay batons","Easy",15,4,30,5,3,"High","Indoor","Pan India","Teams run a relay course while carrying wedding props; drop penalties apply.","Course obstacles can be varied.","Ensure the course is clear and surfaces non-slip.","relay, fun, energetic",0,"Yes","Reception hall",4.5,"Course design adjustable","No","Event entertainment","Praised for energizing the crowd.",2025-04-06,"Trendy, Festive","Delhi"
G136,"Dil Se Dance","Dil Se Dance invites couples and families to express love through a free-style dance challenge. It’s an intimate yet lively part of the reception.","Wedding","Modern","Group","Adults (18+)/Family","Music system, dance floor","Medium",20,2,30,5,5,"High","Indoor","Pan India","Participants perform free-style dances expressing love; audience votes determine the winner.","Duet or group variations possible.","Ensure ample space and soft flooring.","dance, expressive, fun",0,"No","Indoor hall",4.6,"Dance style adaptable","No","Wedding shows","Highly engaging and emotional.",2025-04-06,"Trendy, Festive","Mumbai"
G137,"Jashn Juggler","Jashn Juggler mixes juggling with dance. Participants juggle lightweight props while moving to music, adding playful energy to the wedding festivities.","Wedding","Modern","Individual","Adults (18+)","Lightweight balls or floral props","Hard",20,1,10,5,3,"High","Indoor/Outdoor","Pan India","Contestants juggle while performing a short dance routine; judged on skill and flair.","Can include team juggling rounds.","Ensure props are soft and non-injurious.","skill, dance, fun",0,"No","Stage or open area",4.5,"Prop type customizable","No","Contemporary wedding games","Celebrated for its novelty.",2025-04-06,"Trendy, Casual","Delhi"
G138,"Nuptial Narratives","Nuptial Narratives is a storytelling contest where guests share humorous or heartfelt stories about the couple, blending tradition with modern fun.","Wedding","Modern","Individual","Adults (18+)/Family","Story cards, microphone","Easy",25,2,30,10,3,"Low","Indoor","Pan India","Each participant tells a story related to the couple; best story wins applause.","Can be themed by life stages.","Ensure respectful and positive content.","storytelling, engaging, cultural",0,"No","Indoor venue",4.7,"Story themes customizable","No","Wedding memoirs","Highly admired for its emotional impact.",2025-04-06,"Trendy, Festive","Mumbai"
